date,daily_rain
2024-09-01,0.0
2024-09-02,0.0
2024-09-03,0.0
2024-09-04,0.0
2024-09-05,0.0
2024-09-06,0.0
2024-09-07,0.0
2024-09-08,0.0
2024-09-09,0.0
2024-09-10,1.7
2024-09-11,0.0
2024-09-12,0.0
2024-09-13,0.0
2024-09-14,0.0
2024-09-15,2.7
2024-09-16,0.0
2024-09-17,1.3
2024-09-18,0.0
2024-09-19,0.7
2024-09-20,0.0
2024-09-21,0.0
2024-09-22,0.0
2024-09-23,0.0
2024-09-24,0.0
2024-09-25,0.0
2024-09-26,0.0
2024-09-27,1.2
2024-09-28,0.1
2024-09-29,0.0
2024-09-30,0.0
2024-10-01,0.0
2024-10-02,0.0
2024-10-03,0.0
2024-10-04,0.0
2024-10-05,0.0
2024-10-06,0.0
2024-10-07,1.8
2024-10-08,12.6
2024-10-09,0.2
2024-10-10,0.0
2024-10-11,0.0
2024-10-12,0.0
2024-10-13,0.0
2024-10-14,0.8
2024-10-15,0.0
2024-10-16,3.5
2024-10-17,0.1
2024-10-18,0.0
2024-10-19,0.0
2024-10-20,0.0
2024-10-21,0.0
2024-10-22,0.0
2024-10-23,0.1
2024-10-24,0.0
2024-10-25,1.3
2024-10-26,2.1
2024-10-27,0.0
2024-10-28,0.0
2024-10-29,16.4
2024-10-30,3.4
2024-10-31,0.0
2024-11-01,0.0
2024-11-02,0.0
2024-11-03,0.0
2024-11-04,1.3
2024-11-05,0.0
2024-11-06,0.0
2024-11-07,0.0
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,0.0
2024-11-11,0.0
2024-11-12,2.3
2024-11-13,0.0
2024-11-14,0.0
2024-11-15,0.0
2024-11-16,5.7
2024-11-17,2.0
2024-11-18,3.7
2024-11-19,2.7
2024-11-20,4.0
2024-11-21,4.5
2024-11-22,0.8
2024-11-23,2.6
2024-11-24,6.8
2024-11-25,0.1
