dtt,rainsum,hidroyear
2023-09-05,0.0,2015
2023-09-10,0.0,2015
2023-09-15,0.25,2015
2023-09-20,0.25,2015
2023-09-25,0.25,2015
2023-09-30,0.25,2015
2023-10-05,0.25,2015
2023-10-10,0.25,2015
2023-10-15,0.25,2015
2023-10-20,0.25,2015
2023-10-25,0.25,2015
2023-10-30,2.25,2015
2023-11-04,2.5,2015
2023-11-09,2.5,2015
2023-11-14,2.75,2015
2023-11-19,2.75,2015
2023-11-24,3.75,2015
2023-11-29,4.75,2015
2023-12-04,5.0,2015
2023-12-09,5.0,2015
2023-12-14,5.0,2015
2023-12-19,5.0,2015
2023-12-24,5.0,2015
2023-12-29,7.54,2015
2024-01-03,7.54,2015
2024-01-08,7.54,2015
2024-01-13,28.24,2015
2024-01-18,30.49,2015
2024-01-23,34.5,2015
2024-01-28,49.69,2015
2024-02-02,59.51,2015
2024-02-07,59.51,2015
2024-02-12,63.26,2015
2024-02-17,86.71000000000001,2015
2024-02-22,105.98,2015
2024-02-27,154.35000000000002,2015
2024-03-04,182.20000000000002,2015
2024-03-09,182.20000000000002,2015
2024-03-14,184.48000000000002,2015
2024-03-19,184.48000000000002,2015
2024-03-24,184.48000000000002,2015
2024-03-29,184.98000000000002,2015
2024-04-03,185.48000000000002,2015
2024-04-08,185.48000000000002,2015
2024-04-13,201.20000000000002,2015
2024-04-18,203.21,2015
2024-04-23,205.97,2015
2024-04-28,205.97,2015
2024-05-03,205.97,2015
2024-05-08,205.97,2015
2024-05-13,208.74,2015
2024-05-18,208.74,2015
2024-05-23,208.74,2015
2024-05-28,208.74,2015
2024-06-02,222.67000000000002,2015
2024-06-07,222.67000000000002,2015
2024-06-12,222.67000000000002,2015
2024-06-17,222.67000000000002,2015
2024-06-22,222.67000000000002,2015
2024-06-27,222.67000000000002,2015
2024-07-02,251.26000000000002,2015
2024-07-07,253.02,2015
2024-07-12,256.3,2015
2024-07-17,256.3,2015
2024-07-22,256.3,2015
2024-07-27,256.3,2015
2024-08-01,257.55,2015
2024-08-06,261.58,2015
2024-08-11,261.83,2015
2024-08-16,276.72999999999996,2015
2024-08-21,276.72999999999996,2015
2024-08-26,276.72999999999996,2015
2024-08-31,277.73999999999995,2015
2023-09-05,26.04,2016
2023-09-10,26.29,2016
2023-09-15,31.799999999999997,2016
2023-09-20,38.379999999999995,2016
2023-09-25,42.39999999999999,2016
2023-09-30,43.65999999999999,2016
2023-10-05,77.0,2016
2023-10-10,90.32,2016
2023-10-15,97.89999999999999,2016
2023-10-20,136.24,2016
2023-10-25,147.57000000000002,2016
2023-10-30,151.85000000000002,2016
2023-11-04,160.67000000000002,2016
2023-11-09,160.67000000000002,2016
2023-11-14,162.93,2016
2023-11-19,162.93,2016
2023-11-24,169.26000000000002,2016
2023-11-29,174.27,2016
2023-12-04,195.20000000000002,2016
2023-12-09,195.20000000000002,2016
2023-12-14,196.70000000000002,2016
2023-12-19,197.46,2016
2023-12-24,197.46,2016
2023-12-29,204.99,2016
2024-01-03,231.23000000000002,2016
2024-01-08,231.23000000000002,2016
2024-01-13,240.59000000000003,2016
2024-01-18,242.60000000000002,2016
2024-01-23,245.87000000000003,2016
2024-01-28,280.97,2016
2024-02-02,282.49,2016
2024-02-07,286.31,2016
2024-02-12,286.31,2016
2024-02-17,291.87,2016
2024-02-22,302.44,2016
2024-02-27,342.90999999999997,2016
2024-03-04,378.82,2016
2024-03-09,378.82,2016
2024-03-14,392.8,2016
2024-03-19,392.8,2016
2024-03-24,396.34000000000003,2016
2024-03-29,403.74,2016
2024-04-03,412.38,2016
2024-04-08,412.38,2016
2024-04-13,415.78,2016
2024-04-18,419.97999999999996,2016
2024-04-23,419.97999999999996,2016
2024-04-28,425.78,2016
2024-05-03,451.03,2016
2024-05-08,451.03,2016
2024-05-13,461.83,2016
2024-05-18,461.83,2016
2024-05-23,479.43,2016
2024-05-28,498.43,2016
2024-06-02,512.51,2016
2024-06-07,515.51,2016
2024-06-12,523.91,2016
2024-06-17,523.91,2016
2024-06-22,523.91,2016
2024-06-27,523.91,2016
2024-07-02,543.0699999999999,2016
2024-07-07,549.01,2016
2024-07-12,564.81,2016
2024-07-17,564.81,2016
2024-07-22,564.81,2016
2024-07-27,564.81,2016
2024-08-01,584.9399999999999,2016
2024-08-06,590.7399999999999,2016
2024-08-11,591.5399999999998,2016
2024-08-16,592.5399999999998,2016
2024-08-21,592.5399999999998,2016
2024-08-26,592.5399999999998,2016
2024-08-31,592.5399999999998,2016
2023-09-05,2.15,2017
2023-09-10,2.15,2017
2023-09-15,12.35,2017
2023-09-20,16.15,2017
2023-09-25,20.549999999999997,2017
2023-09-30,24.749999999999996,2017
2023-10-05,28.839999999999996,2017
2023-10-10,28.839999999999996,2017
2023-10-15,44.44,2017
2023-10-20,72.84,2017
2023-10-25,72.84,2017
2023-10-30,73.64,2017
2023-11-04,76.14,2017
2023-11-09,76.14,2017
2023-11-14,77.14,2017
2023-11-19,78.34,2017
2023-11-24,78.34,2017
2023-11-29,82.34,2017
2023-12-04,88.56,2017
2023-12-09,89.36,2017
2023-12-14,89.36,2017
2023-12-19,89.36,2017
2023-12-24,96.56,2017
2023-12-29,108.76,2017
2024-01-03,115.96000000000001,2017
2024-01-08,115.96000000000001,2017
2024-01-13,122.36000000000001,2017
2024-01-18,131.36,2017
2024-01-23,143.16000000000003,2017
2024-01-28,175.36,2017
2024-02-02,189.36,2017
2024-02-07,189.36,2017
