date,daily_rain
2024-09-12,0.0
2024-09-13,0.0
2024-09-14,0.0
2024-09-15,1.9
2024-09-16,0.0
2024-09-17,3.6
2024-09-18,0.5
2024-09-19,0.5
2024-09-20,0.0
2024-09-21,2.2
2024-09-22,0.0
2024-09-23,0.0
2024-09-24,0.0
2024-09-25,0.0
2024-09-26,0.0
2024-09-27,0.4
2024-09-28,0.1
2024-09-29,0.0
2024-09-30,0.0
2024-10-01,0.0
2024-10-02,0.0
2024-10-03,0.0
2024-10-04,0.0
2024-10-05,0.0
2024-10-06,0.0
2024-10-07,0.0
2024-10-08,14.7
2024-10-09,0.1
2024-10-10,0.0
2024-10-11,0.0
2024-10-12,0.0
2024-10-13,0.0
2024-10-14,4.1
2024-10-15,2.3
2024-10-16,9.7
2024-10-17,0.0
2024-10-18,0.0
2024-10-19,0.0
2024-10-20,0.0
2024-10-21,0.0
2024-10-22,0.0
2024-10-23,1.2
2024-10-24,0.0
2024-10-25,0.0
2024-10-26,5.3
2024-10-27,0.1
2024-10-28,0.0
2024-10-29,20.4
2024-10-30,10.8
2024-10-31,0.2
2024-11-01,0.0
2024-11-02,0.0
2024-11-03,0.2
2024-11-04,1.4
2024-11-05,0.0
2024-11-06,0.0
2024-11-07,0.0
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,0.0
2024-11-11,0.0
2024-11-12,2.0
2024-11-13,0.6
2024-11-14,0.0
2024-11-15,0.0
2024-11-16,1.4
2024-11-17,0.2
2024-11-18,8.0
2024-11-19,8.0
2024-11-20,10.9
2024-11-21,2.5
2024-11-22,0.0
2024-11-23,4.6
2024-11-24,2.1
2024-11-25,0.0
2024-11-26,3.4
2024-11-27,6.9
2024-11-28,0.1
2024-11-29,2.0
2024-11-30,15.6
2024-12-01,0.1
2024-12-02,0.2
2024-12-03,12.8
2024-12-04,0.0
2024-12-05,2.9
2024-12-06,0.0
2024-12-07,0.0
2024-12-08,1.2
2024-12-09,4.9
2024-12-10,0.0
