date,rainacum,last_point
2023-12-10,170.1,2025-02-16 10:45:00
2023-12-11,170.1,2025-02-16 10:45:00
2023-12-12,170.1,2025-02-16 10:45:00
2023-12-13,170.1,2025-02-16 10:45:00
2023-12-14,170.1,2025-02-16 10:45:00
2023-12-15,170.1,2025-02-16 10:45:00
2023-12-16,170.1,2025-02-16 10:45:00
2023-12-17,170.1,2025-02-16 10:45:00
2023-12-18,170.1,2025-02-16 10:45:00
2023-12-19,170.1,2025-02-16 10:45:00
2023-12-20,170.1,2025-02-16 10:45:00
2023-12-21,170.1,2025-02-16 10:45:00
2023-12-22,170.1,2025-02-16 10:45:00
2023-12-23,170.1,2025-02-16 10:45:00
2023-12-24,170.1,2025-02-16 10:45:00
2023-12-25,170.1,2025-02-16 10:45:00
2023-12-26,170.1,2025-02-16 10:45:00
2023-12-27,170.1,2025-02-16 10:45:00
2023-12-28,170.1,2025-02-16 10:45:00
2023-12-29,170.1,2025-02-16 10:45:00
2023-12-30,170.1,2025-02-16 10:45:00
2023-12-31,170.1,2025-02-16 10:45:00
2024-01-01,170.1,2025-02-16 10:45:00
2024-01-02,170.1,2025-02-16 10:45:00
2024-01-03,170.1,2025-02-16 10:45:00
2024-01-04,170.1,2025-02-16 10:45:00
2024-01-05,170.1,2025-02-16 10:45:00
2024-01-06,170.1,2025-02-16 10:45:00
2024-01-07,170.1,2025-02-16 10:45:00
2024-01-08,170.1,2025-02-16 10:45:00
2024-01-09,170.1,2025-02-16 10:45:00
2024-01-10,170.1,2025-02-16 10:45:00
2024-01-11,170.1,2025-02-16 10:45:00
2024-01-12,170.1,2025-02-16 10:45:00
2024-01-13,170.1,2025-02-16 10:45:00
2024-01-14,170.1,2025-02-16 10:45:00
2024-01-15,170.1,2025-02-16 10:45:00
2024-01-16,170.1,2025-02-16 10:45:00
2024-01-17,170.1,2025-02-16 10:45:00
2024-01-18,170.1,2025-02-16 10:45:00
2024-01-19,170.1,2025-02-16 10:45:00
2024-01-20,170.1,2025-02-16 10:45:00
2024-01-21,170.1,2025-02-16 10:45:00
2024-01-22,170.1,2025-02-16 10:45:00
2024-01-23,170.1,2025-02-16 10:45:00
2024-01-24,170.1,2025-02-16 10:45:00
2024-01-25,170.1,2025-02-16 10:45:00
2024-01-26,170.1,2025-02-16 10:45:00
2024-01-27,170.1,2025-02-16 10:45:00
2024-01-28,170.1,2025-02-16 10:45:00
2024-01-29,170.1,2025-02-16 10:45:00
2024-01-30,170.1,2025-02-16 10:45:00
2024-01-31,170.1,2025-02-16 10:45:00
2024-02-01,170.1,2025-02-16 10:45:00
2024-02-02,170.1,2025-02-16 10:45:00
2024-02-03,170.1,2025-02-16 10:45:00
2024-02-04,170.1,2025-02-16 10:45:00
2024-02-05,170.1,2025-02-16 10:45:00
2024-02-06,170.1,2025-02-16 10:45:00
2024-02-07,170.1,2025-02-16 10:45:00
2024-02-08,170.1,2025-02-16 10:45:00
2024-02-09,170.1,2025-02-16 10:45:00
2024-02-10,170.1,2025-02-16 10:45:00
2024-02-11,170.1,2025-02-16 10:45:00
2024-02-12,170.1,2025-02-16 10:45:00
2024-02-13,170.1,2025-02-16 10:45:00
2024-02-14,170.1,2025-02-16 10:45:00
2024-02-15,170.1,2025-02-16 10:45:00
2024-02-16,170.1,2025-02-16 10:45:00
